CódigoInstit;Código Curso;NomedaInstituição
1103;9146;Universidade do Porto - Faculdade de Ciências
1103;9209;Universidade do Porto - Faculdade de Ciências
1103;9223;Universidade do Porto - Faculdade de Ciências
1103;9368;Universidade do Porto - Faculdade de Ciências
1103;9696;Universidade do Porto - Faculdade de Ciências
1103;9709;Universidade do Porto - Faculdade de Ciências
1103;9812;Universidade do Porto - Faculdade de Ciências
1103;9824;Universidade do Porto - Faculdade de Ciências
1104;9081;Universidade do Porto - Faculdade de Economia
1104;9147;Universidade do Porto - Faculdade de Economia
1105;9360;Universidade do Porto - Faculdade de Engenharia
1105;9367;Universidade do Porto - Faculdade de Engenharia
1105;9369;Universidade do Porto - Faculdade de Engenharia
1105;9459;Universidade do Porto - Faculdade de Engenharia
1105;9460;Universidade do Porto - Faculdade de Engenharia
1105;9461;Universidade do Porto - Faculdade de Engenharia
1105;9493;Universidade do Porto - Faculdade de Engenharia
1105;9508;Universidade do Porto - Faculdade de Engenharia
1105;9509;Universidade do Porto - Faculdade de Engenharia
1105;9897;Universidade do Porto - Faculdade de Engenharia
1106;9494;Universidade do Porto - Faculdade de Farmácia
1107;9006;Universidade do Porto - Faculdade de Letras
1107;9040;Universidade do Porto - Faculdade de Letras
1107;9139;Universidade do Porto - Faculdade de Letras
1107;9143;Universidade do Porto - Faculdade de Letras
1107;9181;Universidade do Porto - Faculdade de Letras
1107;9182;Universidade do Porto - Faculdade de Letras
1107;9192;Universidade do Porto - Faculdade de Letras
1107;9197;Universidade do Porto - Faculdade de Letras
1107;9204;Universidade do Porto - Faculdade de Letras
1107;9240;Universidade do Porto - Faculdade de Letras
1107;9694;Universidade do Porto - Faculdade de Letras
1107;9701;Universidade do Porto - Faculdade de Letras
1107;9917;Universidade do Porto - Faculdade de Letras
1108;9813;Universidade do Porto - Faculdade de Medicina
1109;9026;Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação
1109;9555;Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação
1110;9708;Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar
1110;9813;Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar
1110;9847;Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar
1111;9707;Universidade do Porto - Faculdade de Desporto
1113;9548;Universidade do Porto - Faculdade de Medicina Dentária
1114;9066;Universidade do Porto - Faculdade de Direito
1114;9078;Universidade do Porto - Faculdade de Direito
1201;8258;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias
1201;9086;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias
1201;9114;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias
1201;9129;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias
1201;9752;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias
1201;9847;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias
1202;9023;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais
1202;9081;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais
1202;9147;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais
1202;9196;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais
