Código Instit.;Código Curso;Nome da Instituição;Nome do Curso
1107;9701;Universidade do Porto - Faculdade de Letras;Ciências da Comunicação: Jornalismo, Assessoria, Multimédia
1107;9917;Universidade do Porto - Faculdade de Letras;Estudos Portugueses
1108;9813;Universidade do Porto - Faculdade de Medicina;Medicina
1109;9026;Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação;Ciências da Educação
1109;9555;Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação;Psicologia
1110;9708;Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar;Ciências do Meio Aquático
1110;9813;Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar;Medicina
1110;9847;Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar;Medicina Veterinária
1111;9707;Universidade do Porto - Faculdade de Desporto;Ciências do Desporto
1113;9548;Universidade do Porto - Faculdade de Medicina Dentária;Medicina Dentária
1114;9066;Universidade do Porto - Faculdade de Direito;Criminologia
1114;9078;Universidade do Porto - Faculdade de Direito;Direito
1201;9086;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias;Engenharia Agronómica
1201;9114;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias;Engenharia Florestal
1201;9129;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias;Engenharia Zootécnica
1201;9752;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias;Enologia
1201;9847;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias;Medicina Veterinária
1202;9023;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Ciências da Comunicação
1202;9081;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Economia
1202;9147;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Gestão
1202;9196;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Línguas e Relações Empresariais
1202;9204;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Línguas, Literaturas e Culturas
1202;9219;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Psicologia
1202;9238;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Serviço Social
1202;9254;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Turismo
1202;9803;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Teatro e Artes Performativas
1202;9853;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Educação Básica
1202;L092;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais;Animação Cultural e Comunitária
1203;9052;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia;Comunicação e Multimédia
1203;9089;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia;Engenharia Civil
1203;9104;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia;Engenharia e Gestão Industrial
1203;9119;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia;Engenharia Informática
